,KOD,NAME
991,030211,"ФОРЕЛЬ СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ (SALMO TRUTTA, ONCORHYNCHUS MYKKIS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS  АPACHE И ONCORHYNCHUS CHRYSOGASTER)"
998,030213,"РЫБА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ, ЗА ИСКЛЮЧЕНИЕМ РЫБНОГО ФИЛЕ И ПРОЧЕГО МЯСА РЫБЫ ТОВАРНОЙ ПОЗИЦИИ 0304: ЛОСОСЕВЫЕ, ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК: ЛОСОСЬ ТИХООКЕАНСКИЙ"
1001,030214,"РЫБА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ, ЗА ИСКЛЮЧЕНИЕМ РЫБНОГО ФИЛЕ И ПРОЧЕГО МЯСА РЫБЫ ТОВАРНОЙ ПОЗИЦИИ 0304: ЛОСОСЕВЫЕ, ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК: ЛОСОСЬ АТЛАНТИЧЕСКИЙ И  ЛОСОСЬ ДУНАЙСКИЙ"
1004,030219,"ПРОЧИЕ ЛОСОСОСЕВЫЕ, ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК, СВЕЖИЕ ИЛИ  ОХЛАЖДЕННЫЕ"
1007,030221,"ПАЛТУС СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ (REINHARDTILUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS)"
1014,030222,"КАМБАЛА МОРСКАЯ (PLEURONECTES PLATESSA), СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ"
1017,030223,"МОРСКОЙ ЯЗЫК (SOLEA SPP.), СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ"
1020,030224,"ТЮРБО (PSETTA MAXIMA)), СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ, ЗА ИСКЛЮЧЕНИЕМ РЫБНОГО ФИЛЕ И ПРОЧЕГО МЯСА РЫБЫ ТОВАРНОЙ ПОЗИЦИИ 0304, ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК"
1023,030229,ПРОЧИЕ КАМБАЛООБРАЗНЫЕ СВЕЖИЕ ИЛИ ОХЛАЖДЕННЫЕ
1028,030231,"ТУНЕЦ ДЛИННОПЕРЫЙ ИЛИ АЛЬБАКОР (THUNNUS ALALUNDA) СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ, ЗА ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК"
1033,030232,"ТУНЕЦ ЖЕЛТОПЕРЫЙ (THUNNUS ALBACARES) СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ, ЗА  ИСКЛЮЧЕНИЕМ ПЕЧЕНИ, ИКРЫ И МОЛОК"
1038,030233,"СКИПДЖЕК ИЛИ ТУНЕЦ ПОЛОСАТЫЙ СВЕЖИЙ ИЛИ ОХЛАЖДЕННЫЙ, ЗА ИСКЛЮЧЕНИЕМ  ПЕЧЕНИ, ИКРЫ И МОЛОК"
